COMPONENTE	ANO/FAIXA	EIXO - CAMPOS DE ATUAÇÃO	UNIDADES TEMÁTICAS	OBJETOS DE CONHECIMENTO	CÓDIGO HABILIDADE	HABILIDADES	COMENTÁRIO	POSSIBILIDADES PARA O CURRÍCULO
Ensino Religioso	1º	-	Identidades e alteridades	O eu, o outro e o nós	EF01ER01	Identificar e acolher as semelhanças e diferenças entre o eu, o outro e o nós.	-	-
Ensino Religioso	1º	-	Identidades e alteridades	O eu, o outro e o nós	EF01ER02	Reconhecer que o seu nome e o das demais pessoas os identificam e os diferenciam.	-	-
Ensino Religioso	1º	-	Identidades e alteridades	Imanência e transcendência	EF01ER03	Reconhecer e respeitar as características físicas e subjetivas de cada um.	-	-
Ensino Religioso	1º	-	Identidades e alteridades	Imanência e transcendência	EF01ER04	Valorizar a diversidade de formas de vida.	-	-
Ensino Religioso	1º	-	Manifestações religiosas	Sentimentos, lembranças, memórias e saberes	EF01ER05	Identificar e acolher sentimentos, lembranças, memórias e saberes de cada um.	-	-
Ensino Religioso	1º	-	Manifestações religiosas	Sentimentos, lembranças, memórias e saberes	EF01ER06	Identificar as diferentes formas pelas quais as pessoas manifestam sentimentos, ideias, memórias, gostos e crenças em diferentes espaços.	-	-
Ensino Religioso	2º	-	Identidades e alteridades	O eu, a família e o ambiente de convivência	EF02ER01	Reconhecer os diferentes espaços de convivência.	-	-
Ensino Religioso	2º	-	Identidades e alteridades	O eu, a família e o ambiente de convivência	EF02ER02	Identificar costumes, crenças e formas diversas de viver em variados ambientes de convivência.	-	-
Ensino Religioso	2º	-	Identidades e alteridades	Memórias e símbolos	EF02ER03	Identificar as diferentes formas de registro das memórias pessoais, familiares e escolares (fotos, músicas, narrativas, álbuns...).	-	-
Ensino Religioso	2º	-	Identidades e alteridades	Memórias e símbolos	EF02ER04	Identificar os símbolos presentes nos variados espaços de convivência.	-	-
Ensino Religioso	2º	-	Identidades e alteridades	Símbolos religiosos	EF02ER05	Identificar, distinguir e respeitar símbolos religiosos de distintas manifestações, tradições e instituições religiosas.	-	-
Ensino Religioso	2º	-	Manifestações religiosas	Alimentos sagrados	EF02ER06	Exemplificar alimentos considerados sagrados por diferentes culturas, tradições e expressões religiosas.	-	-
Ensino Religioso	2º	-	Manifestações religiosas	Alimentos sagrados	EF02ER07	Identificar significados atribuídos a alimentos em diferentes manifestações e tradições religiosas.	-	-
Ensino Religioso	3º	-	Identidades e alteridades	Espaços e territórios religiosos	EF03ER01	Identificar e respeitar os diferentes espaços e territórios religiosos de diferentes tradições e movimentos religiosos.	-	-
Ensino Religioso	3º	-	Identidades e alteridades	Espaços e territórios religiosos	EF03ER02	Caracterizar os espaços e territórios religiosos como locais de realização das práticas celebrativas.	-	-
Ensino Religioso	3º	-	Manifestações religiosas	Práticas celebrativas	EF03ER03	Identificar e respeitar práticas celebrativas (cerimônias, orações, festividades, peregrinações, entre outras) de diferentes tradições religiosas.	-	-
Ensino Religioso	3º	-	Manifestações religiosas	Práticas celebrativas	EF03ER04	Caracterizar as práticas celebrativas como parte integrante do conjunto das manifestações religiosas de diferentes culturas e sociedades.	-	-
Ensino Religioso	3º	-	Manifestações religiosas	Indumentárias religiosas	EF03ER05	Reconhecer as indumentárias (roupas, acessórios, símbolos, pinturas corporais) utilizadas em diferentes manifestações e tradições religiosas.	-	-
Ensino Religioso	3º	-	Manifestações religiosas	Indumentárias religiosas	EF03ER06	Caracterizar as indumentárias como elementos integrantes das identidades religiosas.	-	-
Ensino Religioso	4º	-	Manifestações religiosas	Ritos religiosos	EF04ER01	Identificar ritos presentes no cotidiano pessoal, familiar, escolar e comunitário.	-	-
Ensino Religioso	4º	-	Manifestações religiosas	Ritos religiosos	EF04ER02	Identificar ritos e suas funções em diferentes manifestações e tradições religiosas.	-	-
Ensino Religioso	4º	-	Manifestações religiosas	Ritos religiosos	EF04ER03	Caracterizar ritos de iniciação e de passagem em diversos grupos religiosos (nascimento, casamento e morte).	-	-
Ensino Religioso	4º	-	Manifestações religiosas	Ritos religiosos	EF04ER04	Identificar as diversas formas de expressão da espiritualidade (orações, cultos, gestos, cantos, dança, meditação) nas diferentes tradições religiosas.	-	-
Ensino Religioso	4º	-	Manifestações religiosas	Representações religiosas na arte	EF04ER05	Identificar representações religiosas em diferentes expressões artísticas (pinturas, arquitetura, esculturas, ícones, símbolos, imagens), reconhecendo-as como parte da identidade de diferentes culturas e tradições religiosas.	-	-
Ensino Religioso	4º	-	Crenças religiosas e filosofias de vida	Ideia(s) de divindade(s)	EF04ER06	Identificar nomes, significados e representações de divindades nos contextos familiar e comunitário.	-	-
Ensino Religioso	4º	-	Crenças religiosas e filosofias de vida	Ideia(s) de divindade(s)	EF04ER07	Reconhecer e respeitar as ideias de divindades de diferentes manifestações e tradições religiosas.	-	-
Ensino Religioso	5º	-	Crenças religiosas e filosofias de vida	Narrativas religiosas	EF05ER01	Identificar e respeitar acontecimentos sagrados de diferentes culturas e tradições religiosas como recurso para preservar a memória.	-	-
Ensino Religioso	5º	-	Crenças religiosas e filosofias de vida	Mitos nas tradições religiosas	EF05ER02	Identificar mitos de criação em diferentes culturas e tradições religiosas.	-	-
Ensino Religioso	5º	-	Crenças religiosas e filosofias de vida	Mitos nas tradições religiosas	EF05ER03	Reconhecer funções e mensagens religiosas contidas nos mitos de criação (concepções de mundo, natureza, ser humano, divindades, vida e morte).	-	-
Ensino Religioso	5º	-	Crenças religiosas e filosofias de vida	Ancestralidade e tradição oral	EF05ER04	Reconhecer a importância da tradição oral para preservar memórias e acontecimentos religiosos.	-	-
Ensino Religioso	5º	-	Crenças religiosas e filosofias de vida	Ancestralidade e tradição oral	EF05ER05	Identificar elementos da tradição oral nas culturas e religiosidades indígenas, afro-brasileiras, ciganas, entre outras.	-	-
Ensino Religioso	5º	-	Crenças religiosas e filosofias de vida	Ancestralidade e tradição oral	EF05ER06	Identificar o papel dos sábios e anciãos na comunicação e preservação da tradição oral.	-	-
Ensino Religioso	5º	-	Crenças religiosas e filosofias de vida	Ancestralidade e tradição oral	EF05ER07	Reconhecer, em textos orais, ensinamentos relacionados a modos de ser e viver.	-	-
Ensino Religioso	6º	-	Crenças religiosas e filosofias de vida	Tradição escrita: registro dos ensinamentos sagrados	EF06ER01	Reconhecer o papel da tradição escrita na preservação de memórias, acontecimentos e ensinamentos religiosos.	-	-
Ensino Religioso	6º	-	Crenças religiosas e filosofias de vida	Tradição escrita: registro dos ensinamentos sagrados	EF06ER02	Reconhecer e valorizar a diversidade de textos religiosos escritos (textos do Budismo, Cristianismo, Espiritismo, Hinduísmo, Islamismo, Judaísmo, entre outros).	-	-
Ensino Religioso	6º	-	Crenças religiosas e filosofias de vida	Ensinamentos da tradição escrita	EF06ER03	Reconhecer, em textos escritos, ensinamentos relacionados a modos de ser e viver.	-	-
Ensino Religioso	6º	-	Crenças religiosas e filosofias de vida	Ensinamentos da tradição escrita	EF06ER04	Reconhecer que os textos escritos são utilizados pelas tradições religiosas de maneiras diversas.	-	-
Ensino Religioso	6º	-	Crenças religiosas e filosofias de vida	Ensinamentos da tradição escrita	EF06ER05	Discutir como o estudo e a interpretação dos textos religiosos influenciam os adeptos a vivenciarem os ensinamentos das tradições religiosas.	-	-
Ensino Religioso	6º	-	Crenças religiosas e filosofias de vida	Símbolos, ritos e mitos religiosos	EF06ER06	Reconhecer a importância dos mitos, ritos, símbolos e textos na estruturação das diferentes crenças, tradições e movimentos religiosos.	-	-
Ensino Religioso	6º	-	Crenças religiosas e filosofias de vida	Símbolos, ritos e mitos religiosos	EF06ER07	Exemplificar a relação entre mito, rito e símbolo nas práticas celebrativas de diferentes tradições religiosas.	-	-
Ensino Religioso	7º	-	Manifestações religiosas	Místicas e espiritualidades	EF07ER01	Reconhecer e respeitar as práticas de comunicação com as divindades em distintas manifestações e tradições religiosas.	-	-
Ensino Religioso	7º	-	Manifestações religiosas	Místicas e espiritualidades	EF07ER02	Identificar práticas de espiritualidade utilizadas pelas pessoas em determinadas situações (acidentes, doenças, fenômenos climáticos).	-	-
Ensino Religioso	7º	-	Manifestações religiosas	Lideranças religiosas	EF07ER03	Reconhecer os papéis atribuídos às lideranças de diferentes tradições religiosas.	-	-
Ensino Religioso	7º	-	Manifestações religiosas	Lideranças religiosas	EF07ER04	Exemplificar líderes religiosos que se destacaram por suas contribuições à sociedade.	-	-
Ensino Religioso	7º	-	Manifestações religiosas	Lideranças religiosas	EF07ER05	Discutir estratégias que promovam a convivência ética e respeitosa entre as religiões.	-	-
Ensino Religioso	7º	-	Crenças religiosas e filosofias de vida	Princípios éticos e valores religiosos	EF07ER06	Identificar princípios éticos em diferentes tradições religiosas e filosofias de vida, discutindo como podem influenciar condutas pessoais e práticas sociais.	-	-
Ensino Religioso	7º	-	Crenças religiosas e filosofias de vida	Liderança e direitos humanos	EF07ER07	Identificar e discutir o papel das lideranças religiosas e seculares na defesa e promoção dos direitos humanos.	-	-
Ensino Religioso	7º	-	Crenças religiosas e filosofias de vida	Liderança e direitos humanos	EF07ER08	Reconhecer o direito à liberdade de consciência, crença ou convicção, questionando concepções e práticas sociais que a violam.	-	-
Ensino Religioso	8º	-	Crenças religiosas e filosofias de vida	Crenças, convicções e atitudes	EF08ER01	Discutir como as crenças e convicções podem influenciar escolhas e atitudes pessoais e coletivas.	-	-
Ensino Religioso	8º	-	Crenças religiosas e filosofias de vida	Crenças, convicções e atitudes	EF08ER02	Analisar filosofias de vida, manifestações e tradições religiosas destacando seus princípios éticos.	-	-
Ensino Religioso	8º	-	Crenças religiosas e filosofias de vida	Doutrinas religiosas	EF08ER03	Analisar doutrinas das diferentes tradições religiosas e suas concepções de mundo, vida e morte.	-	-
Ensino Religioso	8º	-	Crenças religiosas e filosofias de vida	Crenças, filosofias de vida e esfera pública	EF08ER04	Discutir como filosofias de vida, tradições e instituições religiosas podem influenciar diferentes campos da esfera pública (política, saúde, educação, economia).	-	-
Ensino Religioso	8º	-	Crenças religiosas e filosofias de vida	Crenças, filosofias de vida e esfera pública	EF08ER05	Debater sobre as possibilidades e os limites da interferência das tradições religiosas na esfera pública.	-	-
Ensino Religioso	8º	-	Crenças religiosas e filosofias de vida	Crenças, filosofias de vida e esfera pública	EF08ER06	Analisar práticas, projetos e políticas públicas que contribuem para a promoção da liberdade de pensamento, crenças e convicções.	-	-
Ensino Religioso	8º	-	Crenças religiosas e filosofias de vida	Tradições religiosas, mídias e tecnologias	EF08ER07	Analisar as formas de uso das mídias e tecnologias pelas diferentes denominações religiosas.	-	-
Ensino Religioso	9º	-	Crenças religiosas e filosofias de vida	Imanência e transcendência	EF09ER01	Analisar princípios e orientações para o cuidado da vida e nas diversas tradições religiosas e filosofias de vida.	-	-
Ensino Religioso	9º	-	Crenças religiosas e filosofias de vida	Imanência e transcendência	EF09ER02	Discutir as diferentes expressões de valorização e de desrespeito à vida, por meio da análise de matérias nas diferentes mídias.	-	-
Ensino Religioso	9º	-	Crenças religiosas e filosofias de vida	Vida e morte	EF09ER03	Identificar sentidos do viver e do morrer em diferentes tradições religiosas, através do estudo de mitos fundantes.	-	-
Ensino Religioso	9º	-	Crenças religiosas e filosofias de vida	Vida e morte	EF09ER04	Identificar concepções de vida e morte em diferentes tradições religiosas e filosofias de vida, por meio da análise de diferentes ritos fúnebres.	-	-
Ensino Religioso	9º	-	Crenças religiosas e filosofias de vida	Vida e morte	EF09ER05	Analisar as diferentes ideias de imortalidade elaboradas pelas tradições religiosas (ancestralidade, reencarnação, transmigração e ressurreição).	-	-
Ensino Religioso	9º	-	Crenças religiosas e filosofias de vida	Princípios e valores éticos	EF09ER06	Reconhecer a coexistência como uma atitude ética de respeito à vida e à dignidade humana.	-	-
Ensino Religioso	9º	-	Crenças religiosas e filosofias de vida	Princípios e valores éticos	EF09ER07	Identificar princípios éticos (familiares, religiosos e culturais) que possam alicerçar a construção de projetos de vida.	-	-
Ensino Religioso	9º	-	Crenças religiosas e filosofias de vida	Princípios e valores éticos	EF09ER08	Construir projetos de vida assentados em princípios e valores éticos.	-	-
História	1º	-	Mundo pessoal: meu lugar no mundo	As fases da vida e a ideia de temporalidade (passado, presente, futuro)	EF01HI01	Identificar aspectos do seu crescimento por meio do registro das lembranças particulares ou de lembranças dos membros de sua família e/ou de sua comunidade.	Espera-se que o aluno recorde e organize suas lembranças pessoais e também as de sua família, escola, vizinhos, enfim, de sua comunidade, para identificar aspectos do seu crescimento, isto é, recordar fatos mais marcantes, ouvir histórias, observar fotografias e fazer comparações. Portanto, além de identificar, a habilidade demanda, também, organizar, selecionar, comparar e sequenciar informações. Dessa maneira, a consciência de si e a percepção de um passado pessoal aproximam o aluno da noção de temporalidade, cuja compreensão é uma competência específica da História (Competência Específica 2).	A noção de tempo histórico perpassa todo o Ensino Fundamental, tornando-se cada vez mais complexa. Na elaboração do currículo, pode-se considerar que o desenvolvimento da habilidade se inicia pelo tempo mais próximo do aluno (O que eu fiz ontem? E hoje? O que farei amanhã?) para um tempo mais distante (O que eu fiz o ano passado? Qual é o registro mais antigo que eu tenho?). O trabalho com a noção de tempo passado ganha mais significado se contar com a participação da família e membros idosos da comunidade. A busca de informações sobre o próprio passado suscita perguntas – o que? quando? como? – cujas respostas dão sentido à informação adquirida e reforçam as habilidades de identificar, organizar, selecionar, comparar e sequenciar.
História	1º	-	Mundo pessoal: meu lugar no mundo	As diferentes formas de organização da família e da comunidade: os vínculos pessoais e as relações de amizade	EF01HI02	Identificar a relação entre as suas histórias e as histórias de sua família e de sua comunidade.	Avança-se em relação à habilidade (EF01HI01), uma vez que o aluno deve reconhecer as conexões entre suas lembranças pessoais e as de sua família e comunidade, entre o Eu e o Outro. Para isso, o aluno desenvolve outras habilidades cognitivas: buscar, relacionar, recolher, examinar, descobrir e associar histórias.	Na elaboração do currículo, as sugestões apontadas para a habilidade (EF01HI01) podem ser retomadas, destacando, agora, os pontos de convergência entre as lembranças do aluno e as histórias da família e da comunidade. Novas perguntas são inseridas – quem ou com quem? onde? quando? O diálogo e a convivência propiciados pela atividade contemplam a Competência Geral 9. É possível, ainda, na elaboração do currículo, complementar essa habilidade prevendo também para o aluno identificar a relação entre suas histórias e as histórias de sua família e de sua comunidade e de mitos e lendas indígenas e africanas, contos populares locais ou regionais que permitam estabelecer relações com a história da população local — universidades locais podem apontar fontes para a indicação dessas histórias. Com isso, contribui-se para o desenvolvimento da Competência Geral 9, por tratar da alteridade e acolhimento da perspectiva do outro.
História	1º	-	Mundo pessoal: meu lugar no mundo	As diferentes formas de organização da família e da comunidade: os vínculos pessoais e as relações de amizade	EF01HI03	Descrever e distinguir os seus papéis e responsabilidades relacionados à família, à escola e à comunidade.	Descrever papéis e responsabilidades, nesta habilidade, significa identificar-se como filho, irmão, primo, neto na família; aluno, colega na escola; criança na comunidade. Além disso, essa habilidade significa narrar as características e responsabilidades de cada um dos diferentes papéis identificados, percebendo o que muda e o que permanece (Quais são as responsabilidades do aluno na escola? E do filho na família? São as mesmas?). Avança-se, assim, o aprendizado do aluno ao nível da compreensão que já não é somente a da consciência de si, mas de sua consciência social.	Na elaboração do currículo, pode-se complementar o conteúdo prevendo a investigação de situações vivenciadas por familiares no presente ou no passado recente: como foi a infância de seus pais e/ou avós? Que papéis e responsabilidades eles tinham em relação à família, escola e comunidade? Observar e comparar situações vividas por outros pode facilitar ao aluno compreender, descrever e distinguir as suas próprias, além de oportunizar o diálogo e a convivência, contemplando, assim, a Competência Geral 9.
História	1º	-	Mundo pessoal: meu lugar no mundo	A escola e a diversidade do grupo social envolvido	EF01HI04	Identificar as diferenças entre os variados ambientes em que vive (doméstico, escolar e da comunidade), reconhecendo as especificidades dos hábitos e das regras que os regem.	Identificar as diferenças entre os variados ambientes de vivência significa reconhecer e distinguir o que é casa, escola, igreja, praça, rua etc. Comparar suas características físicas engloba perceber e diferenciar tamanhos, arquitetura, mobiliário, pessoas que frequentam e a relação que tem ou não com elas etc. Dessas primeiras diferenciações, chega-se ao reconhecimento das especificidades de hábitos e regras que regulam esses ambientes: horários fixados, controle da circulação de pessoas, uso ou não de uniformes, dias da semana em que os locais são frequentados, existência de autoridades locais etc. Identificar diferenças e reconhecer especificidades são fundamentais para desenvolver a capacidade de análise com base em fatos (Competência Geral 7). E, também, para a compreensão do fato e a aceitação da pluralidade (Competência Específica 4).	Na elaboração do currículo, há uma oportunidade de explicitar habilidades voltadas à discussão e reflexão de regras de convívio social: o que se pode e o que não se pode fazer na escola, na família e em outros ambientes? Por que não pode? O exercício favorece ao aluno trabalhar a habilidade proposta e contribui, também, para que ele exercite a empatia, a cooperação e a resolução de conflitos contemplando, com isso, a Competência Geral 9. Há, aqui, oportunidade de trabalho interdisciplinar com as habilidades (EF01LP21), da Língua Portuguesa; (EF12EF04), da Educação Física; e (EF01GE04), da Geografia, associadas à identificação, discussão e escrita sobre regras de convivência e sua importância.
