Código da Habilidade	Campo de experiências	Faixas Etárias	Objetivos de aprendizagem e desenvolvimento	Abordagem das experiências de aprendizagem	Sugestões para o currículo
EI01TS01	Traços, sons, cores e formas	Bebês (zero a 1 ano e 6 meses)	  Explorar sons produzidos com o próprio corpo e com objetos do ambiente.	Os bebês, em suas explorações corporais e sonoras, descobrem a junção de sons, gestos e palavras, buscando dar sentido às suas ações. Por meio de diferentes situações nas quais podem movimentar-se, escutar e responder à música, experimentar um ritmo regular e explorar sons, tons e cantar, têm a oportunidade de ampliar e aprimorar suas habilidades e descobertas sobre a música e os movimentos.  Nesse contexto, é importante que os bebês tenham garantidos vínculos seguros e estáveis, espaços acolhedores e desafiadores e disponibilizados ao seu alcance objetos, materiais e brinquedos diversificados e de qualidade que lhe propiciem oportunidades para explorar as diferentes formas de sons, fazendo uso de seu corpo e de todos os seus sentidos, brincando com brinquedos sonoros, com instrumentos de efeito sonoro e demais objetos do ambiente natural que produzam sons diversos. Também é importante que participem de situações nas quais possam brincar com as possibilidades expressivas da própria voz e explorar objetos buscando diferentes sons e ajustando seus movimentos corporais, como bater palma conforme o ritmo da música, acompanhar a música batendo em um objeto ou buscar sons diferentes em objetos que lhes são familiares.	Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para os bebês, é possível construir objetivos específicos relacionados às ações e situações nas quais exploram o som produzido pelo seu próprio corpo ou com objetos — por exemplo, brincar com o próprio corpo em atividades com músicas ou imitar a vocalização do(a) professor(a) ao cantar. O currículo pode considerar as habilidades a serem construídas a partir da interação com o outro — por exemplo, ajustar gestos ou posições de seu corpo buscando adequar-se a outras crianças ou professores(as), acompanhando o ritmo da música. O currículo local pode, ainda, destacar sons ou objetos que são típicos de sua cultura e também abordar atitudes a serem desenvolvidas, como divertir-se com a produção de sons gerada pela sua própria exploração corporal e apreciar os sons produzidos por diferentes objetos que exploram ou escutam.
EI02TS01	Traços, sons, cores e formas	Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses)	  Criar sons com materiais, objetos e instrumentos musicais, para acompanhar diversos ritmos de música.	Desde bebês, as crianças escutam e reagem à música com movimentos e outras manifestações. As crianças bem pequenas se interessam por conhecer as canções, reproduzi-las ou inventar pequenos versos a partir das canções conhecidas. Ao escutar a música, envolvem-se com seu corpo e buscam mover-se no compasso da canção. Os materiais sonoros exercem grande interesse nas crianças bem pequenas, sejam eles instrumentos ou objetos comuns. Em suas explorações, buscam descobrir e criar sons e acompanhar o ritmo da música. Nesse contexto, é importante que as crianças bem pequenas participem de diversas situações que as convidem a produzir sons, utilizar o próprio corpo, como ao bater palmas, os pés, de forma ritmada, com o auxílio de outras crianças e professores(as) e também utilizando objetos diversificados. É importante, ainda, que possam explorar diferentes fontes sonoras e reconhecer sua ausência ou presença em diferentes situações ou expressar-se utilizando diferentes instrumentos musicais, ritmos, velocidades, intensidades, sequências de melodia e timbres em suas brincadeiras, nas danças ou em interação em duplas, trios ou pequenos grupos, e que possam também demonstrar sua preferência por determinadas músicas instrumentais e diferentes expressões da cultura musical brasileira e de outras culturas: canções, acalantos, cantigas de roda, brincos, parlendas, trava-línguas etc.	Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para as crianças bem pequenas, é possível construir objetivos específicos relacionados às suas explorações em busca de descobrir novos sons, como brincar com materiais, objetos e instrumentos musicais, imitar, inventar e reproduzir criações musicais ou explorar novos materiais buscando diferentes sons para acompanhar canções que lhes são familiares, buscar adequar os sons produzidos com os diferentes objetos ou instrumentos ao ritmo da música ou diferenciar sons dos objetos sonoros e dos instrumentos musicais. O currículo local pode, ainda, trazer exemplos de instrumentos musicais, objetos ou canções que são típicos da cultura local, e também criar objetivos relacionados à apreciação musical, ao gosto ou valorização pela diversidade de produção artística das diferentes culturas.
EI03TS01	Traços, sons, cores e formas	Crianças pequenas (4 anos a 5 anos e 11 meses)	  Utilizar sons produzidos por materiais, objetos e instrumentos musicais durante brincadeiras de faz de conta, encenações, criações musicais, festas.	As crianças pequenas, por meio da música, aprendem sobre si mesmas, seu corpo, sobre os outros e sobre a sua cultura. A música, tradicionalmente, insere as crianças em sua própria cultura e nos ritos que dela fazem parte, como, por exemplo, as canções de aniversário, eventos ou festividades típicas das diversas regiões do país. O desenvolvimento musical das crianças, bem como sua capacidade de se expressar por meio dessa linguagem e aprender sobre sua cultura com ela, são possíveis quando elas estão inseridas em contextos em que as pessoas valorizam, apreciam e fazem uso da linguagem musical. Nesse contexto, é importante que as crianças pequenas tenham experimentos com a produção de sons com fins de “trilha sonora”, que possam participar da composição e escolha desses sons para narrativas, festas etc., que participem de situações em que confeccionem diferentes instrumentos musicais de percussão, de sopro, de corda etc. com materiais alternativos para utilizar em situações de brincadeiras cantadas com outras crianças, que usem seus brinquedos sonoros ou instrumentos musicais para participar de encenações ou criações musicais, vivências de dança etc., e contem histórias usando modulações de voz, objetos sonoros e instrumentos musicais.	Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para as crianças pequenas, é possível construir objetivos específicos relacionados ao fazer musical envolvendo as canções e os instrumentos musicais. Por exemplo, cantar canções conhecidas acompanhando o ritmo com gestos ou com instrumentos musicais ou reconhecer canções características que marcam eventos específicos de sua rotina ou de seu grupo. É possível, também, construir objetivos relacionados à reflexão musical — por exemplo, reconhecer alguns elementos musicais básicos: frases, partes, elementos que se repetem etc. O currículo local pode, ainda, trazer exemplos de manifestações artísticas, canções ou instrumentos de sua região, comunidade, cultura local, nacional ou internacional, além de abordar atitudes a serem desenvolvidas, como apreciar e valorizar a escuta de obras musicais de diversos gêneros, estilos, épocas e culturas, da produção musical brasileira e de outros povos e países.
EI01TS02	Traços, sons, cores e formas	Bebês (zero a 1 ano e 6 meses)	  Traçar marcas gráficas, em diferentes suportes, usando instrumentos riscantes e tintas.	Os bebês experimentam o mundo pelos seus sentidos, seu corpo, usando movimentos simples em suas explorações. Viver situações que favoreçam a relação entre suas sensações corporais ao realizar marcas em seu próprio corpo ou mesmo em diferentes suportes contribui para a experimentação de representações de seus sentimentos e emoções, bem como de sua própria imagem e experiências corporais. Convidar os bebês para explorarem as tintas, observarem as marcas que deixam, as variações das intensidades das cores, mexerem com areia e água, na terra etc., são situações privilegiadas para os bebês. Nesse contexto, é importante que os bebês realizem suas explorações em espaços seguros e desafiadores, tendo disponibilizados de forma acessível diferentes objetos, materiais e brinquedos que os convidem para diversas ações e investigações. Além disso, é importante que, em suas atividades pessoais ou com alguns colegas, sejam sempre acolhidos e observados por professores(as) atentos e responsivos às suas necessidades e interesses, bem como que possam utilizar objetos para riscar, pintar e traçar marcas que participem de situações de autoiniciativa e de escolha, envolvendo explorações de tintas e instrumentos riscantes. Essas experiências são oportunidades para que descubram, desde muito cedo, experiências artísticas, mesmo que rudimentares, além da possibilidade de explorar e investigar diferentes materiais, como lápis e pincéis de diferentes texturas e espessuras, brochas, carvão, carimbo etc.; de meios, como tintas, água, areia, terra, argila etc.; e de variados suportes gráficos, como jornal, papel, papelão, parede, chão, caixas, madeiras etc.	Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para os bebês, é possível construir objetivos específicos relacionados às suas ações de explorações e descobertas, como experimentar diferentes instrumentos riscantes e tipos de tintas, em diferentes suportes, deixando suas marcas gráficas. Também são interessantes objetivos relacionados à intencionalidade de realizar marcas gráficas, como explorar e reconhecer diferentes movimentos gestuais ao tentar realizá-las em diferentes suportes. O currículo local pode, ainda, trazer exemplos de tintas ou instrumentos típicos de sua região – folhas, sementes, flores, terras de diferentes cores etc.—, além de abordar atitudes a serem desenvolvidas relacionadas ao aprendizado do cuidado com o próprio corpo e dos colegas nessas explorações.
EI02TS02	Traços, sons, cores e formas	Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses)	  Utilizar materiais variados com possibilidades de manipulação (argila, massa de modelar), explorando cores, texturas, superfícies, planos, formas e volumes ao criar objetos tridimensionais.	As crianças bem pequenas gostam de criar reproduções de pessoas e coisas utilizando diferentes materiais, como argila, massa de modelar, areia etc. Suas explorações relacionando o reconhecimento das propriedades dos materiais com as representações que têm dos objetos, pessoas ou animais as engajam em produções cada vez mais intencionais, como, por exemplo, um pedaço de massinha esticado representando uma cobra. Além disso, contribuem para a compreensão sobre as coisas que querem representar e também para o aprimoramento das habilidades necessárias ao manuseio dos diferentes materiais e instrumentos. Nesse contexto, é importante que as crianças bem pequenas participem de situações nas quais tenham a oportunidade de utilizar diferentes materiais para criar objetos tridimensionais, que podem ser feitos com palitos de madeira, papéis diversos e outros materiais disponíveis na escola e/ou fáceis de serem encontrados, criando, assim, formas diversas. É importante também que possam criar objetos bidimensionais e tridimensionais a partir de materiais como argila, barro, massa de modelar, papel e tinta ou explorar as características de objetos e materiais — odores, sabores, sonoridades, texturas, formas, pesos, tamanhos e posições no espaço — ao utilizar materiais como argila, barro, massa de modelar, papel, tinta etc.; e formas tridimensionais nas brincadeiras de montar, encaixar e empilhar.	Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para as crianças pequenas, a exploração e o uso de diferentes materiais é uma forma de ampliar suas noções e habilidades sobre as coisas e as pessoas que pretendem representar. É possível construir objetivos específicos relacionados a essas aprendizagens, como criar produtos com massa de modelar ou argila a partir de seu próprio repertório, explorando diferentes elementos, como forma, volume, textura etc. O currículo pode construir objetivos relacionados à habilidade no manuseio dos materiais para sua produção artística — por exemplo, explorar e aprofundar suas descobertas em relação a procedimentos necessários para modelar e suas diferentes possibilidades de manuseio a partir de sua intencionalidade. O currículo local pode, ainda, trazer exemplos de objetos e materiais que são típicos da região, comunidade ou cultura local, além de abordar atitudes a serem desenvolvidas relacionadas ao cuidado e à apreciação pela produção própria da criança e a dos colegas.
EI03TS02	Traços, sons, cores e formas	Crianças pequenas (4 anos a 5 anos e 11 meses)	  Expressar-se livremente por meio de desenho, pintura, colagem, dobradura e escultura, criando produções bidimensionais e tridimensionais.	As Artes Visuais são uma linguagem, portanto, uma forma de as crianças pequenas se expressarem e se comunicarem. Por meio de traços, pontos e formas, tanto bidimensionais como tridimensionais, as crianças podem expressar suas ideias, sentidos e sentimentos em uma linguagem que as motiva e as engaja para realizar suas explorações e descobertas sobre as coisas e o mundo à sua volta. Nesse contexto, é importante que as crianças tenham a oportunidade de participar de diferentes situações de aprendizagens — individuais, em pares, trios ou pequenos grupos —, nas quais possam expressar-se, comunicar-se e divertir-se, ao mesmo tempo em que exploram, investigam e fazem descobertas e conexões por meio de desenhos, rabiscos, pinturas, construções, esculturas, colagens, dobraduras etc. Por meio da escuta atenta e das observações do(a) professor(a), é possível organizar situações a partir do interesse das crianças, realizando convites para que façam desenhos de observação, focando nos detalhes e convidando a todos para expor suas produções nos espaços da sala que devem, preferivelmente, estar acessíveis para que possam exibir suas produções com autonomia. É desejável, ainda, promover situações em que as crianças possam construir brinquedos, potes, cestos ou adornos inspirados no artesanato do campo, indígena ou de outras tradições culturais, construir casas ou castelos de cartas, de madeira, de panos e outros materiais, fazer dobraduras simples, bonecas de pano ou de espiga de milho, construir uma estrutura com gravetos, folhas secas, blocos, copos plásticos, embalagens de papelão, experimentar efeitos de luz e sombra sobre objetos ou espaços, com uso de velas ou lanternas, pintar usando diferentes suportes (papéis, panos, telas, pedaços de metal ou acrílico) e materiais (aquarela, tinta guache, tinta feita com materiais da natureza, lápis de cor, canetas hidrográficas, esmalte de unhas), reconhecer a diversidade de padrões de uso das cores em diferentes culturas e contextos de produção e usar esse conhecimento para fazer suas criações no desenho, na pintura etc.	Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para as crianças pequenas, é possível construir objetivos específicos relacionados ao seu fazer artístico, como desenhar e construir produções bidimensionais e tridimensionais ou usar materiais artísticos para expressar suas ideias, sentimentos e experiências. O currículo pode construir objetivos relacionados à sua reflexão sobre o fazer artístico — por exemplo, usar uma variedade de materiais artísticos para se expressar ou utilizar a investigação que realiza sobre o espaço, as imagens, as coisas ao seu redor para significar e incrementar sua produção artística. O currículo local pode, ainda, trazer objetivos relacionados ao conhecimento e à apreciação de produções artísticas de sua cultura ou de outras culturas regionais, nacionais ou internacionais.
EI01TS03	Traços, sons, cores e formas	Bebês (zero a 1 ano e 6 meses)	  Explorar diferentes fontes sonoras e materiais para acompanhar brincadeiras cantadas, canções, músicas e melodias.	Bebês aprendem com todo o seu corpo e com seus sentidos. Disponibilizar diferentes materiais e objetos que favoreçam a descoberta de diferentes sons engaja-os em suas explorações automotivadas e na aprendizagem sobre os resultados de suas ações com o corpo e com os objetos na produção de sons. Nesse contexto, é importante que o bebê, envolto em relações vinculares seguras e estáveis e em um ambiente acolhedor e ao mesmo tempo desafiador, que disponibilize de forma acessível brinquedos, objetos e materiais do mundo físico e natural, participe de situações que utilizem diversos materiais sonoros e palpáveis, que lhe permitam agir de forma a produzir sons, explorar as qualidades sonoras de objetos e instrumentos musicais diversos, como sinos, flautas, apitos, coquinhos e participar de situações de brincadeiras livres ou divertir-se com canções relacionadas a narrativas, festas e outros acontecimentos típicos de sua cultura. Além disso, também é importante que participe de situações que o convidem a criar sons com o próprio corpo ou objetos/instrumentos ao escutar uma música, buscando acompanhar o seu ritmo ou apreciar brincadeiras cantadas, participando, imitando e criando gestos, explorando movimentos, fontes sonoras e materiais.	Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para os bebês, é possível construir objetivos específicos relacionados às ações ao explorar fontes sonoras e materiais como, por exemplo, fazer sons agitando e batendo instrumentos ou responder a sons familiares com gestos ou ações. O currículo pode construir objetivos relacionados à maior complexidade de suas habilidades ao explorar fontes sonoras — por exemplo, responder virando em direção ao som quando há mais de um estímulo sonoro presente ou coordenar habilidades motoras na exploração de sons. O currículo local pode, ainda, trazer exemplos de fontes sonoras, instrumentos, canções ou brincadeiras cantadas que são típicos de sua região, comunidade ou cultura local.
EI02TS03	Traços, sons, cores e formas	Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses)	  Utilizar diferentes fontes sonoras disponíveis no ambiente em brincadeiras cantadas, canções, músicas e melodias.	As crianças bem pequenas estão abertas a ouvir, fazer música e se movimentar com ela. Desde bebês, são capazes de escutar os sons e responder a eles. Elas estão rodeadas por diferentes sons à sua volta: o som da chuva, do rio, dos passarinhos, das pessoas a falar, dos motores dos carros, barcos etc. Gostam de ouvir os sons, identificá-los e correspondê-los às imagens mentais que possuem sobre os objetos ou seres que os produzem. Nesse contexto, as diferentes fontes sonoras presentes no ambiente escolar ou ao seu redor são fontes de investigações para suas explorações e descobertas sobre o mundo. É importante que haja diversidade de materiais que sejam fontes de sons, como aparelhos tecnológicos, rústicos etc. para que as crianças façam novos sons e descubram novas possibilidades, que sejam convidadas a identificar e imitar sons conhecidos, como os sons da natureza (cantos de pássaros, “vozes” de animais, barulho do vento, da chuva etc.), sons da cultura (vozes humanas, sons de instrumentos musicais, de máquinas, produzidos por objetos e outras fontes sonoras) ou o silêncio, e que tenham vivências de ouvir, perceber e discriminar eventos sonoros diversos, fontes sonoras e produções musicais; explorar e identificar elementos da música para se expressar, interagir com os outros e ampliar seu conhecimento do mundo ou participar de jogos e brincadeiras que envolvam a dança e/ ou a improvisação musical.	Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para as crianças bem pequenas, é possível construir objetivos específicos relacionados à produção musical e identificação de fontes sonoras. Por exemplo, explorar e reconhecer sons familiares ou explorar e identificar possibilidades sonoras de objetos de seu cotidiano ou de instrumentos musicais. O currículo pode construir objetivos relacionados à produção e à apreciação musical, como reproduzir sons ou canções conhecidas e usar em suas brincadeiras, interessar-se por canções ou brincadeiras cantadas apresentadas pelos professores(as) ou seus colegas. O currículo local pode, ainda, destacar os objetos, canções, instrumentos ou manifestações culturais que são típicas de sua cultura, região ou de outras culturas, além de abordar atitudes a serem desenvolvidas, como apreciar canções e músicas de diferentes culturas ou escutar músicas de diferentes tradições culturais buscando cantar juntos e imitar os gestos comuns.
EI03TS03	Traços, sons, cores e formas	Crianças pequenas (4 anos a 5 anos e 11 meses)	  Reconhecer as qualidades do som (intensidade, duração, altura e timbre), utilizando-as em suas produções sonoras e ao ouvir músicas e sons.	A criança pequena produz música por meio da exploração do som e de suas qualidades: altura, duração, intensidade e timbre. Elas gostam de explorar, no contato com objetos e instrumentos musicais, os sons agudos e graves (altura), tocar forte ou fraco (intensidade), produzir sons curtos ou longos (duração) e imitar gestos que relacionam com a produção de som. Por meio dessas iniciativas, explorações e manipulações, se apropriam com maior destreza da linguagem musical como forma de expressão e comunicação. Nesse contexto, é importante que as crianças tenham contato com diversos sons de diferentes intensidades, durações, alturas, timbres etc. Esse contato pode se dar por meio de brincadeiras, atividades individuais, em duplas ou pequenos grupos e de situações de exploração dos ambientes à sua volta, procurando objetos e coisas que tenham sons diferentes dos que já conhecem. Dançar conforme a música e as diferentes manifestações sonoras, encontrar movimentos diferentes para expressar cada uma delas, descobrir a reação dos diferentes tipos de som no seu corpo, criar formas de se expressar por meio dos sons que seu corpo emite, que sua voz pode criar, que são possíveis de serem compostos em duplas ou trios são situações que engajam as crianças pequenas em suas descobertas e aprendizagens em relação aos sons.	Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para as crianças pequenas, é possível construir objetivos específicos relacionados ao fazer musical e à produção de sons. Por exemplo, brincar com a música explorando objetos ou instrumentos musicais para acompanhar seu ritmo ou imitar, inventar e reproduzir criações musicais. O currículo pode construir objetivos relacionados com as qualidades do som, como, por exemplo, reconhecer, em situações de escuta de música, algumas características dos sons ou explorar, em situações de brincadeiras com música, variações de velocidade e intensidade na produção de sons. O currículo local pode, ainda, trazer objetivos de aprendizagem e desenvolvimento que ilustrem canções, brincadeiras ou instrumentos musicais que são típicos de sua cultura ou de alguma outra cultura que estão conhecendo.
EI01EO01	O eu, o outro e o nós	Bebês (zero a 1 ano e 6 meses)	  Perceber que suas ações têm efeitos nas outras crianças e nos adultos.	Os bebês, desde bem pequenos, têm iniciativas de busca por interagir com os adultos e as crianças. As relações de confiança e segurança são essenciais para motivar suas autoiniciativas de interação para, por meio delas, explorar e aprender sobre o mundo à sua volta. Por meio de relações de confiança nas quais os(as) professores(as) respondem de forma positiva às suas ações e diferentes formas de expressão e comunicação, os bebês começam a perceber que são capazes de conseguir reações específicas a partir de suas ações, e que suas ações têm efeitos nas outras pessoas. Nesse contexto, é importante que os bebês possam participar de situações nas quais são valorizados em suas iniciativas, acolhidos em suas expressões e manifestações de desejos e necessidades, bem como acolhidos e acariciados por meio do contato físico positivo.	Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para bebês, é possível, por exemplo, considerar objetivos específicos relacionados a brincadeiras simples com professores(as), como, por exemplo, envolver-se em jogos simples de dar e receber, lançar objetos ao chão e manifestar-se ao recebê-los de volta. O currículo pode considerar objetivos específicos relacionados à participação em contextos de convívio social, como brincar ao lado de outras crianças, imitando ou mostrando suas ações. Ao abordar as vivências dos bebês em suas conquistas em relação à percepção dos efeitos de suas ações nas outras pessoas, o currículo local pode citar exemplos de situações que fazem parte de sua rotina ou abordar atitudes a serem desenvolvidas nessas situações, como demonstrar interesse em seguir algumas normas em atividades da rotina.
